Date,Team 1,Team 2,Score 1,Score 2
1/10/2026,Towson,Northeastern,87,78
1/10/2026,Idaho St.,Northern Arizona,81,79
1/10/2026,Weber St.,Northern Colorado,76,71
1/10/2026,Texas A&M Corpus Chris,Northwestern St.,78,79
1/10/2026,Clemson,Notre Dame,76,61
1/10/2026,Buffalo,Ohio,80,91
1/10/2026,St. Thomas,Oral Roberts,82,71
1/10/2026,San Diego,Pacific,70,77
1/10/2026,Brown,Penn,73,81
1/10/2026,San Francisco,Pepperdine,80,60
1/10/2026,Syracuse,Pittsburgh,83,72
1/10/2026,Oregon St.,Portland,76,82
1/10/2026,Sacramento St.,Portland St.,69,96
1/10/2026,Mississippi Valley St.,Prairie View A&M,69,70
1/10/2026,Yale,Princeton,60,76
1/10/2026,Penn St.,Purdue,85,93
1/10/2026,UNC Asheville,Radford,91,72
1/10/2026,Washington St.,Saint Mary's,82,88
1/10/2026,Liberty,Sam Houston St.,82,74
1/10/2026,Fresno St.,San Diego St.,52,71
1/10/2026,Loyola Marymount,Santa Clara,72,103
1/10/2026,Georgia Southern,South Alabama,71,87
1/10/2026,Georgia,South Carolina,75,70
1/10/2026,Denver,South Dakota,72,82
1/10/2026,Tennessee Martin,Southern Indiana,73,56
1/10/2026,Louisiana Monroe,Southern Miss,60,70
1/10/2026,Fordham,St. Bonaventure,81,77
1/10/2026,Houston Christian,Stephen F. Austin,67,85
1/10/2026,Austin Peay,Stetson,81,69
1/10/2026,Chicago St.,Stonehill,82,85
1/10/2026,UNC Wilmington,Stony Brook,75,71
1/10/2026,Arizona,TCU,86,73
1/10/2026,Oklahoma,Texas A&M,76,83
1/10/2026,Arkansas Pine Bluff,Texas Southern,74,66
1/10/2026,Western Carolina,The Citadel,77,79
1/10/2026,South Florida,Tulsa,93,78
1/10/2026,UC San Diego,UC Riverside,69,66
1/10/2026,Maryland,UCLA,55,67
1/10/2026,New Hampshire,UMBC,74,75
1/10/2026,Winthrop,USC Upstate,71,50
1/10/2026,Abilene Christian,UT Arlington,72,82
1/10/2026,BYU,Utah,89,84
1/10/2026,Utah Tech,Utah Valley,76,92
1/10/2026,Western Kentucky,UTEP,68,56
1/10/2026,Tulane,UTSA,85,52
1/10/2026,LSU,Vanderbilt,73,84
1/10/2026,Stanford,Virginia,55,70
1/10/2026,California,Virginia Tech,75,78
1/10/2026,Mercyhurst,Wagner,70,69
1/10/2026,Kansas,West Virginia,75,86
1/10/2026,Tennessee Tech,Western Illinois,59,54
1/10/2026,Eastern Michigan,Western Michigan,62,79
1/10/2026,Providence,Xavier,84,97
1/11/2026,Cleveland St.,Detroit Mercy,84,94
